id,name,sector_before,gbt_code,major_name,layer,rule_confidence,matched_pattern,sector_raw,main_biz_excerpt
E4893,广州海雅国际货运代理有限公司,待打标,14,海洋交通运输业,core,low,sector_raw:交通运输、仓储和邮政业+marine_token,交通运输、仓储和邮政业,
E4904,广州海邦国际货运代理有限公司,待打标,14,海洋交通运输业,core,low,sector_raw:交通运输、仓储和邮政业+marine_token,交通运输、仓储和邮政业,
E4917,广州港鸿业石化码头有限公司,待打标,14,海洋交通运输业,core,low,sector_raw:交通运输、仓储和邮政业+marine_token,交通运输、仓储和邮政业,
E4920,广州大洋船务有限公司,待打标,14,海洋交通运输业,core,low,(?<![陆空])航运|船务|海事服务|货运代理.*海|海运代理,科学研究和技术服务业,
E4936,广东海赢国际物流有限公司,待打标,14,海洋交通运输业,core,low,sector_raw:交通运输、仓储和邮政业+marine_token,交通运输、仓储和邮政业,
E4938,广东南峰船务有限公司,待打标,14,海洋交通运输业,core,low,(?<![陆空])航运|船务|海事服务|货运代理.*海|海运代理,交通运输、仓储和邮政业,
E4973,广州钧通智海国际货运代理有限公司,待打标,14,海洋交通运输业,core,low,sector_raw:交通运输、仓储和邮政业+marine_token,交通运输、仓储和邮政业,
E5000,广州蓝海豚游船有限公司,待打标,14,海洋交通运输业,core,low,sector_raw:交通运输、仓储和邮政业+marine_token,交通运输、仓储和邮政业,
E5083,广东鸿海汇国际货运代理有限公司,待打标,14,海洋交通运输业,core,low,sector_raw:交通运输、仓储和邮政业+marine_token,交通运输、仓储和邮政业,
E5094,广州丝路船务有限公司,待打标,14,海洋交通运输业,core,low,(?<![陆空])航运|船务|海事服务|货运代理.*海|海运代理,交通运输、仓储和邮政业,
E5102,广州市海龙国际货运代理有限公司,待打标,14,海洋交通运输业,core,low,sector_raw:交通运输、仓储和邮政业+marine_token,交通运输、仓储和邮政业,
E5172,广州海纳百川国际货运代理有限公司,待打标,14,海洋交通运输业,core,low,sector_raw:交通运输、仓储和邮政业+marine_token,交通运输、仓储和邮政业,
E5187,广州中丹船舶设计有限公司,待打标,10,海洋船舶工业,core,low,船舶科技|船舶设计|船舶配套,科学研究和技术服务业,
E5200,华海国际物流（广州）有限公司,待打标,14,海洋交通运输业,core,low,sector_raw:交通运输、仓储和邮政业+marine_token,交通运输、仓储和邮政业,
E5261,广州海远供应链有限公司,待打标,14,海洋交通运输业,core,low,sector_raw:交通运输、仓储和邮政业+marine_token,交通运输、仓储和邮政业,
E5294,广州海辰国际货运代理有限公司,待打标,14,海洋交通运输业,core,low,sector_raw:交通运输、仓储和邮政业+marine_token,交通运输、仓储和邮政业,
E5338,广州海成国际物流有限公司,待打标,14,海洋交通运输业,core,low,sector_raw:交通运输、仓储和邮政业+marine_token,交通运输、仓储和邮政业,
E5391,广州寰海国际货运代理有限公司,待打标,14,海洋交通运输业,core,low,sector_raw:交通运输、仓储和邮政业+marine_token,交通运输、仓储和邮政业,
E5476,中船工业成套物流（广州）有限公司,待打标,14,海洋交通运输业,core,low,sector_raw:交通运输、仓储和邮政业+marine_token,交通运输、仓储和邮政业,
E5532,广州市宝伟游艇有限公司,待打标,15,海洋旅游业,peripheral,low,滨海|邮轮旅游|游艇,批发和零售业,
E5724,广州南沙渔业产业园有限公司,待打标,01,海洋渔业,core,low,sector_raw:农、林、牧、渔业+marine_token,农、林、牧、渔业,
E5899,中石化中海船舶燃料供应有限公司,待打标,14,海洋交通运输业,core,low,sector_raw:交通运输、仓储和邮政业+marine_token,交通运输、仓储和邮政业,
E5906,广州市雄达游艇发展有限公司,待打标,15,海洋旅游业,peripheral,low,滨海|邮轮旅游|游艇,批发和零售业,
E6022,广州市海轮船舶配套设备有限公司,待打标,10,海洋船舶工业,core,low,船舶科技|船舶设计|船舶配套,批发和零售业,
E6227,新活渔业（广州）有限公司,待打标,01,海洋渔业,core,low,sector_raw:农、林、牧、渔业+marine_token,农、林、牧、渔业,
E6230,中凯船舶燃料供应（广州）有限公司,待打标,14,海洋交通运输业,core,low,sector_raw:交通运输、仓储和邮政业+marine_token,交通运输、仓储和邮政业,
E6703,广东天竑海洋工程有限公司,待打标,11,海洋工程装备制造业,core,low,海洋工程|海工,建筑业,
E0376,广州中远海运船舶技术工程有限公司,海洋交通运输业,10,海洋船舶工业,core,high,造船|船厂|修船|船舶制造|船舶修理|船舶改装|船舶工程|船用设备|船用机电,制造业,广州中远海运船舶技术工程有限公司成立于1992-09-03，法定代表人为姚勇，注册资本为5100万元，统一社会信用代码为91440116190676211Q，企业注册地址位于广州市黄埔区港湾路139号1801、1802单元（仅限办公），所属…
E0448,广东拓南船务集团有限公司,海洋交通运输业,14,海洋交通运输业,core,high,船舶代理|船务代理|船代|无船承运,交通运输、仓储和邮政业,广东拓南船务集团有限公司成立于2013-02-25，法定代表人为张娟华，注册资本为2312.5万元，统一社会信用代码为91440115063301759J，企业注册地址位于广州市南沙区九王庙村兴业路2号科技园A栋之五（不可作厂房使用），所属…
E1326,广州吉洋船舶工程有限公司,待打标,10,海洋船舶工业,core,high,造船|船厂|修船|船舶制造|船舶修理|船舶改装|船舶工程|船用设备|船用机电,制造业,
E1333,广州市康洋海水淡化处理有限公司,待打标,09,海水淡化与综合利用业,core,high,海水淡化|海水综合利用|苦咸水淡化,电力、热力、燃气及水生产和供应业,
E1337,广州市秀祥船舶制造有限公司,待打标,10,海洋船舶工业,core,high,造船|船厂|修船|船舶制造|船舶修理|船舶改装|船舶工程|船用设备|船用机电,制造业,
E1345,广州海运渤船舶工程有限公司,待打标,10,海洋船舶工业,core,high,造船|船厂|修船|船舶制造|船舶修理|船舶改装|船舶工程|船用设备|船用机电,制造业,
E3979,广州南沙游艇会管理有限公司,待打标,15,海洋旅游业,core,high,邮轮|游艇会|滨海旅游|海上旅游|潜水旅游,租赁和商务服务业,
E4090,广州打捞局,待打标,13,海洋工程建筑业,core,high,航道局|疏浚|打捞局|海洋工程建筑|围海|吹填,交通运输、仓储和邮政业,
E4139,广州中远海运净海环保科技有限公司,待打标,14,海洋交通运输业,core,high,海运|航运|远洋运输|集装箱码头|汽车码头|港口机械|港口装卸|轮驳|拖轮,水利、环境和公共设施管理业,
E4323,广州铭源船舶管理有限公司,待打标,14,海洋交通运输业,core,high,船舶管理|海务管理,科学研究和技术服务业,
E4422,广东省远洋运输有限公司,待打标,14,海洋交通运输业,core,high,海运|航运|远洋运输|集装箱码头|汽车码头|港口机械|港口装卸|轮驳|拖轮,交通运输、仓储和邮政业,
E4485,广州发展航运有限公司,待打标,14,海洋交通运输业,core,high,海运|航运|远洋运输|集装箱码头|汽车码头|港口机械|港口装卸|轮驳|拖轮,交通运输、仓储和邮政业,
E4522,广州海港拖轮有限公司,待打标,14,海洋交通运输业,core,high,海运|航运|远洋运输|集装箱码头|汽车码头|港口机械|港口装卸|轮驳|拖轮,批发和零售业,
E4556,广州京海航运有限公司,待打标,14,海洋交通运输业,core,high,海运|航运|远洋运输|集装箱码头|汽车码头|港口机械|港口装卸|轮驳|拖轮,交通运输、仓储和邮政业,
E4627,广州南沙海港集装箱码头有限公司,待打标,14,海洋交通运输业,core,high,海运|航运|远洋运输|集装箱码头|汽车码头|港口机械|港口装卸|轮驳|拖轮,交通运输、仓储和邮政业,
E4721,广东中外运船务代理有限公司,待打标,14,海洋交通运输业,core,high,船舶代理|船务代理|船代|无船承运,交通运输、仓储和邮政业,
E4737,广州市航商国际船舶代理有限公司,待打标,14,海洋交通运输业,core,high,船舶代理|船务代理|船代|无船承运,交通运输、仓储和邮政业,
E4759,广州中远海运航空物流有限公司,待打标,14,海洋交通运输业,core,high,海运|航运|远洋运输|集装箱码头|汽车码头|港口机械|港口装卸|轮驳|拖轮,交通运输、仓储和邮政业,
E5304,广州中商航运有限公司,待打标,14,海洋交通运输业,core,high,海运|航运|远洋运输|集装箱码头|汽车码头|港口机械|港口装卸|轮驳|拖轮,交通运输、仓储和邮政业,
E5344,广州荣达海运物流科技有限公司,待打标,14,海洋交通运输业,core,high,海运|航运|远洋运输|集装箱码头|汽车码头|港口机械|港口装卸|轮驳|拖轮,科学研究和技术服务业,
E6801,广州中船德内斯船用设备有限公司,待打标,10,海洋船舶工业,core,high,造船|船厂|修船|船舶制造|船舶修理|船舶改装|船舶工程|船用设备|船用机电,制造业,
E6821,广州市福兴船舶修理有限公司,待打标,10,海洋船舶工业,core,high,造船|船厂|修船|船舶制造|船舶修理|船舶改装|船舶工程|船用设备|船用机电,制造业,
